"entrez","hgnc_id","hgnc_gene","hgnc_symbol","gene_type"
"23452","490","angiopoietin like 2","ANGPTL2","protein-coding gene"
"27329","491","angiopoietin like 3","ANGPTL3","protein-coding gene"
"286","492","ankyrin 1","ANK1","protein-coding gene"
"287","493","ankyrin 2","ANK2","protein-coding gene"
"288","494","ankyrin 3","ANK3","protein-coding gene"
"26287","495","ankyrin repeat domain 2","ANKRD2","protein-coding gene"
"54101","496","receptor interacting serine/threonine kinase 4","RIPK4","protein-coding gene"
"8989","497","transient receptor potential cation channel subfamily A member 1","TRPA1","protein-coding gene"
"289","498","anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)","ANOP1","phenotype"
"290","500","alanyl aminopeptidase, membrane","ANPEP","protein-coding gene"
"222005","507","solute carrier family 25 member 5 pseudogene 3","SLC25A5P3","pseudogene"
"442525","511","solute carrier family 25 member 5 pseudogene 5","SLC25A5P5","pseudogene"
"644042","512","solute carrier family 25 member 5 pseudogene 6","SLC25A5P6","pseudogene"
"442255","513","solute carrier family 25 member 5 pseudogene 7","SLC25A5P7","pseudogene"
"301","533","annexin A1","ANXA1","protein-coding gene"
"11199","534","annexin A10","ANXA10","protein-coding gene"
"311","535","annexin A11","ANXA11","protein-coding gene"
"312","536","annexin A13","ANXA13","protein-coding gene"
"302","537","annexin A2","ANXA2","protein-coding gene"
"303","538","annexin A2 pseudogene 1","ANXA2P1","pseudogene"
"304","539","annexin A2 pseudogene 2","ANXA2P2","pseudogene"
"305","540","annexin A2 pseudogene 3","ANXA2P3","pseudogene"
"306","541","annexin A3","ANXA3","protein-coding gene"
"307","542","annexin A4","ANXA4","protein-coding gene"
"308","543","annexin A5","ANXA5","protein-coding gene"
"309","544","annexin A6","ANXA6","protein-coding gene"
"310","545","annexin A7","ANXA7","protein-coding gene"
"653145","546","annexin A8","ANXA8","protein-coding gene"
"8416","547","annexin A9","ANXA9","protein-coding gene"
"313","548","acyloxyacyl hydrolase","AOAH","protein-coding gene"
"314","549","amine oxidase, copper containing 2","AOC2","protein-coding gene"
"8639","550","amine oxidase, copper containing 3","AOC3","protein-coding gene"
"316","553","aldehyde oxidase 1","AOX1","protein-coding gene"
"162","554","adaptor related protein complex 1 beta 1 subunit","AP1B1","protein-coding gene"
"164","555","adaptor related protein complex 1 gamma 1 subunit","AP1G1","protein-coding gene"
"8906","556","adaptor related protein complex 1 gamma 2 subunit","AP1G2","protein-coding gene"
"11276","557","synergin gamma","SYNRG","protein-coding gene"
"10053","558","adaptor related protein complex 1 mu 2 subunit","AP1M2","protein-coding gene"
"1174","559","adaptor related protein complex 1 sigma 1 subunit","AP1S1","protein-coding gene"
"8905","560","adaptor related protein complex 1 sigma 2 subunit","AP1S2","protein-coding gene"
"160","561","adaptor related protein complex 2 alpha 1 subunit","AP2A1","protein-coding gene"
"161","562","adaptor related protein complex 2 alpha 2 subunit","AP2A2","protein-coding gene"
"163","563","adaptor related protein complex 2 beta 1 subunit","AP2B1","protein-coding gene"
"1173","564","adaptor related protein complex 2 mu 1 subunit","AP2M1","protein-coding gene"
"1175","565","adaptor related protein complex 2 sigma 1 subunit","AP2S1","protein-coding gene"
"8546","566","adaptor related protein complex 3 beta 1 subunit","AP3B1","protein-coding gene"
"8120","567","adaptor related protein complex 3 beta 2 subunit","AP3B2","protein-coding gene"
"8943","568","adaptor related protein complex 3 delta 1 subunit","AP3D1","protein-coding gene"
"26985","569","adaptor related protein complex 3 mu 1 subunit","AP3M1","protein-coding gene"
"10947","570","adaptor related protein complex 3 mu 2 subunit","AP3M2","protein-coding gene"
"10239","571","adaptor related protein complex 3 sigma 2 subunit","AP3S2","protein-coding gene"
"10717","572","adaptor related protein complex 4 beta 1 subunit","AP4B1","protein-coding gene"
"23431","573","adaptor related protein complex 4 epsilon 1 subunit","AP4E1","protein-coding gene"
"9179","574","adaptor related protein complex 4 mu 1 subunit","AP4M1","protein-coding gene"
"11154","575","adaptor related protein complex 4 sigma 1 subunit","AP4S1","protein-coding gene"
"317","576","apoptotic peptidase activating factor 1","APAF1","protein-coding gene"
"320","578","amyloid beta precursor protein binding family A member 1","APBA1","protein-coding gene"
"321","579","amyloid beta precursor protein binding family A member 2","APBA2","protein-coding gene"
"9546","580","amyloid beta precursor protein binding family A member 3","APBA3","protein-coding gene"
"322","581","amyloid beta precursor protein binding family B member 1","APBB1","protein-coding gene"
"323","582","amyloid beta precursor protein binding family B member 2","APBB2","protein-coding gene"
"324","583","APC, WNT signaling pathway regulator","APC","protein-coding gene"
"325","584","amyloid P component, serum","APCS","protein-coding gene"
"327","586","acylaminoacyl-peptide hydrolase","APEH","protein-coding gene"
"328","587","apurinic/apyrimidinic endodeoxyribonuclease 1","APEX1","protein-coding gene"
"9140","588","autophagy related 12","ATG12","protein-coding gene"
"9474","589","autophagy related 5","ATG5","protein-coding gene"
"329","590","baculoviral IAP repeat containing 2","BIRC2","protein-coding gene"
"330","591","baculoviral IAP repeat containing 3","BIRC3","protein-coding gene"
"331","592","X-linked inhibitor of apoptosis","XIAP","protein-coding gene"
"332","593","baculoviral IAP repeat containing 5","BIRC5","protein-coding gene"
"8539","594","apoptosis inhibitor 5","API5","protein-coding gene"
"642812","595","apoptosis inhibitor 5 pseudogene 1","API5P1","pseudogene"
"333","597","amyloid beta precursor like protein 1","APLP1","protein-coding gene"
"334","598","amyloid beta precursor like protein 2","APLP2","protein-coding gene"
"335","600","apolipoprotein A1","APOA1","protein-coding gene"
"336","601","apolipoprotein A2","APOA2","protein-coding gene"
"337","602","apolipoprotein A4","APOA4","protein-coding gene"
"338","603","apolipoprotein B","APOB","protein-coding gene"
"339","604","apolipoprotein B mRNA editing enzyme catalytic subunit 1","APOBEC1","protein-coding gene"
"10930","605","apolipoprotein B mRNA editing enzyme catalytic subunit 2","APOBEC2","protein-coding gene"
"341","607","apolipoprotein C1","APOC1","protein-coding gene"
"342","608","apolipoprotein C1 pseudogene 1","APOC1P1","pseudogene"
"344","609","apolipoprotein C2","APOC2","protein-coding gene"
"345","610","apolipoprotein C3","APOC3","protein-coding gene"
"346","611","apolipoprotein C4","APOC4","protein-coding gene"
"347","612","apolipoprotein D","APOD","protein-coding gene"
"348","613","apolipoprotein E","APOE","protein-coding gene"
"319","615","apolipoprotein F","APOF","protein-coding gene"
"350","616","apolipoprotein H","APOH","protein-coding gene"
"8542","618","apolipoprotein L1","APOL1","protein-coding gene"
"23780","619","apolipoprotein L2","APOL2","protein-coding gene"
"351","620","amyloid beta precursor protein","APP","protein-coding gene"
"8883","621","NEDD8 activating enzyme E1 subunit 1","NAE1","protein-coding gene"
"10513","622","amyloid beta precursor protein binding protein 2","APPBP2","protein-coding gene"
"353","626","adenine phosphoribosyltransferase","APRT","protein-coding gene"
"357","630","shroom family member 2","SHROOM2","protein-coding gene"
"10031","631","shroom family member 2 pseudogene 1","SHROOM2P1","pseudogene"
"358","633","aquaporin 1 (Colton blood group)","AQP1","protein-coding gene"
"359","634","aquaporin 2","AQP2","protein-coding gene"
"360","636","aquaporin 3 (Gill blood group)","AQP3","protein-coding gene"
"361","637","aquaporin 4","AQP4","protein-coding gene"
"362","638","aquaporin 5","AQP5","protein-coding gene"
"363","639","aquaporin 6","AQP6","protein-coding gene"
"364","640","aquaporin 7","AQP7","protein-coding gene"
"343","642","aquaporin 8","AQP8","protein-coding gene"
"366","643","aquaporin 9","AQP9","protein-coding gene"
"367","644","androgen receptor","AR","protein-coding gene"
"369","646","A-Raf proto-oncogene, serine/threonine kinase","ARAF","protein-coding gene"
"644000","647","ARAF pseudogene 2","ARAFP2","pseudogene"
"23237","648","activity regulated cytoskeleton associated protein","ARC","protein-coding gene"
"372","649","archain 1","ARCN1","protein-coding gene"
"374","651","amphiregulin","AREG","protein-coding gene"
"375","652","ADP ribosylation factor 1","ARF1","protein-coding gene"
"377","654","ADP ribosylation factor 3","ARF3","protein-coding gene"
"378","655","ADP ribosylation factor 4","ARF4","protein-coding gene"
"379","656","ADP ribosylation factor like GTPase 4D","ARL4D","protein-coding gene"
"380","657","ADP ribosylation factor 4 pseudogene 1","ARF4P1","pseudogene"
"381","658","ADP ribosylation factor 5","ARF5","protein-coding gene"
"382","659","ADP ribosylation factor 6","ARF6","protein-coding gene"
"373","660","tripartite motif containing 23","TRIM23","protein-coding gene"
"26286","661","ADP ribosylation factor GTPase activating protein 3","ARFGAP3","protein-coding gene"
"10139","662","ADP ribosylation factor related protein 1","ARFRP1","protein-coding gene"
"383","663","arginase 1","ARG1","protein-coding gene"
"384","664","arginase 2","ARG2","protein-coding gene"
"387","667","ras homolog family member A","RHOA","protein-coding gene"
"388","668","ras homolog family member B","RHOB","protein-coding gene"
"389","669","ras homolog family member C","RHOC","protein-coding gene"
"29984","670","ras homolog family member D","RHOD","protein-coding gene"
"390","671","Rho family GTPase 3","RND3","protein-coding gene"
"391","672","ras homolog family member G","RHOG","protein-coding gene"
"392","673","Rho GTPase activating protein 1","ARHGAP1","protein-coding gene"
"393","674","Rho GTPase activating protein 4","ARHGAP4","protein-coding gene"
"394","675","Rho GTPase activating protein 5","ARHGAP5","protein-coding gene"
"395","676","Rho GTPase activating protein 6","ARHGAP6","protein-coding gene"
"23779","677","Rho GTPase activating protein 8","ARHGAP8","protein-coding gene"
"396","678","Rho GDP dissociation inhibitor alpha","ARHGDIA","protein-coding gene"
"397","679","Rho GDP dissociation inhibitor beta","ARHGDIB","protein-coding gene"
"398","680","Rho GDP dissociation inhibitor gamma","ARHGDIG","protein-coding gene"
"9138","681","Rho guanine nucleotide exchange factor 1","ARHGEF1","protein-coding gene"
"9181","682","Rho/Rac guanine nucleotide exchange factor 2","ARHGEF2","protein-coding gene"
"50650","683","Rho guanine nucleotide exchange factor 3","ARHGEF3","protein-coding gene"
"50649","684","Rho guanine nucleotide exchange factor 4","ARHGEF4","protein-coding gene"
"9459","685","Rac/Cdc42 guanine nucleotide exchange factor 6","ARHGEF6","protein-coding gene"
"399","686","ras homolog family member H","RHOH","protein-coding gene"
"9077","687","DIRAS family GTPase 3","DIRAS3","protein-coding gene"
"57381","688","ras homolog family member J","RHOJ","protein-coding gene"
"25820","689","ariadne RBR E3 ubiquitin protein ligase 1","ARIH1","protein-coding gene"
"10425","690","ariadne RBR E3 ubiquitin protein ligase 2","ARIH2","protein-coding gene"
"401","691","paired like homeobox 2a","PHOX2A","protein-coding gene"
"400","692","ADP ribosylation factor like GTPase 1","ARL1","protein-coding gene"
"402","693","ADP ribosylation factor like GTPase 2","ARL2","protein-coding gene"
"403","694","ADP ribosylation factor like GTPase 3","ARL3","protein-coding gene"
"10124","695","ADP ribosylation factor like GTPase 4A","ARL4A","protein-coding gene"
"26225","696","ADP ribosylation factor like GTPase 5A","ARL5A","protein-coding gene"
"23204","697","ADP ribosylation factor like GTPase 6 interacting protein 1","ARL6IP1","protein-coding gene"
"10123","698","ADP ribosylation factor like GTPase 4C","ARL4C","protein-coding gene"
"405","700","aryl hydrocarbon receptor nuclear translocator","ARNT","protein-coding gene"
"406","701","aryl hydrocarbon receptor nuclear translocator like","ARNTL","protein-coding gene"
"10552","703","actin related protein 2/3 complex subunit 1A","ARPC1A","protein-coding gene"
"10095","704","actin related protein 2/3 complex subunit 1B","ARPC1B","protein-coding gene"
"10109","705","actin related protein 2/3 complex subunit 2","ARPC2","protein-coding gene"
"10094","706","actin related protein 2/3 complex subunit 3","ARPC3","protein-coding gene"
"10093","707","actin related protein 2/3 complex subunit 4","ARPC4","protein-coding gene"
"10092","708","actin related protein 2/3 complex subunit 5","ARPC5","protein-coding gene"
"407","710","arrestin 3","ARR3","protein-coding gene"
"408","711","arrestin beta 1","ARRB1","protein-coding gene"
"409","712","arrestin beta 2","ARRB2","protein-coding gene"
"410","713","arylsulfatase A","ARSA","protein-coding gene"
"411","714","arylsulfatase B","ARSB","protein-coding gene"
"413","716","arylsulfatase C, isozyme F","ARSC2","other"
"414","717","arylsulfatase D","ARSD","protein-coding gene"
"10034","718","arylsulfatase D pseudogene 1","ARSDP1","pseudogene"
"415","719","arylsulfatase E (chondrodysplasia punctata 1)","ARSE","protein-coding gene"
"10033","720","arylsulfatase E pseudogene 1","ARSEP1","pseudogene"
"416","721","arylsulfatase F","ARSF","protein-coding gene"
"23757","722","arylsulfatase F pseudogene 1","ARSFP1","pseudogene"
"417","723","ADP-ribosyltransferase 1","ART1","protein-coding gene"
"418","724","ADP-ribosyltransferase 2, pseudogene","ART2P","pseudogene"
"419","725","ADP-ribosyltransferase 3","ART3","protein-coding gene"
"420","726","ADP-ribosyltransferase 4 (Dombrock blood group)","ART4","protein-coding gene"
"9048","727","artemin","ARTN","protein-coding gene"
"421","728","armadillo repeat gene deleted in velocardiofacial syndrome","ARVCF","protein-coding gene"
"424","731","arrhythmogenic right ventricular dysplasia 3","ARVD3","phenotype"
"425","732","arrhythmogenic right ventricular dysplasia 4","ARVD4","phenotype"
"427","735","N-acylsphingosine amidohydrolase 1","ASAH1","protein-coding gene"
"27163","736","N-acylethanolamine acid amidase","NAAA","protein-coding gene"
"429","738","achaete-scute family bHLH transcription factor 1","ASCL1","protein-coding gene"
"430","739","achaete-scute family bHLH transcription factor 2","ASCL2","protein-coding gene"
"56676","740","achaete-scute family bHLH transcription factor 3","ASCL3","protein-coding gene"
"431","741","atrial septal defect 1","ASD1","phenotype"
"432","742","asialoglycoprotein receptor 1","ASGR1","protein-coding gene"
"433","743","asialoglycoprotein receptor 2","ASGR2","protein-coding gene"
"9070","744","ASH2 like histone lysine methyltransferase complex subunit","ASH2L","protein-coding gene"
"434","745","agouti signaling protein","ASIP","protein-coding gene"
"435","746","argininosuccinate lyase","ASL","protein-coding gene"
"436","747","argininosuccinate lyase pseudogene 1","ASLP1","pseudogene"
"438","750","acetylserotonin O-methyltransferase","ASMT","protein-coding gene"
"8623","751","acetylserotonin O-methyltransferase like","ASMTL","protein-coding gene"
"439","752","arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)","ASNA1","protein-coding gene"
"440","753","asparagine synthetase (glutamine-hydrolyzing)","ASNS","protein-coding gene"
"389652","754","asparagine synthetase pseudogene 1","ASNSP1","pseudogene"
"442","755","asparagine synthetase pseudogene 2","ASNSP2","pseudogene"
